hotel_name,rating_and_delivery_time,food_type,location,offer
Gopi'S Momos Centre,45 mins,"Chinese, Sweets, Beverages",Borivali, 20% OFF ABOVE ₹700
The Fellas,5 • 51 mins,"Fast Food, Snacks, Beverages",Malad Kan West, 15% OFF ABOVE ₹1000
Aniruddha ice cream parlour,43 mins,Beverages,Kandivali East, 
Zaika homemade food,45 mins,"Biryani, Indian, Sweets",Malad Kan East, 
Pett Pooja Frankie,49 mins,"Fast Food, Chinese, South Indian",Borivali, 
9 Star Kitchen,4.3 • 44 mins,"Indian, Seafood, Beverages",Borivali, 20% OFF UPTO ₹120
The Thickshake Project,3.7 • 54 mins,"Ice Cream, Beverages, Juices, Desserts",Malad West, 
Mumbai's food spot,48 mins,"South Indian, Fast Food, Street Food",Malad Kan West, 
Daddu's Biryani,5 • 48 mins,"Biryani, Kebabs",Dindoshi, 
Blas Diaga,55 mins,Bakery,Opp. Chincholi Bunder Road, 
Arabian Bistro,4.1 • 45 mins,"Arabian, Snacks, Beverages",Borivali, 
The Dessert Clubb,3.7 • 42 mins,"Desserts, Snacks",Kandivali West, 
Cakes Fiesta,3.4 • 49 mins,"Bakery, Desserts, Beverages, Ice Cream",Goregaon, 
V For Vegan,3 • 47 mins,Salads,Malad West, 
Healthy Trays,44 mins,"Salads, Fast Food, Indian, Chaat, North Indian",Malad Kan East, 
Bhola Bhelpuri,4.4 • 57 mins,"Chaat, Snacks, Beverages",Jog Gor West, 
Jain cafe,3.6 • 44 mins,Pizzas,Malad Kan East, 
The Desert Lounge,46 mins,"North Indian, Italian, Chinese",Malad Kan West, 
Disha Kitchen,1.5 • 62 mins,"North Indian, Chinese",Dahisar, ₹125 OFF ABOVE ₹249
Homely Palate,52 mins,Chinese,Dahisar, ₹100 OFF ABOVE ₹599
Fresh Meals,44 mins,"Indian, Snacks, Seafood",Borivali, 
Samrat Family Restaurant,4.4 • 45 mins,"Indian, Chinese, North Indian, Tandoor, Snacks, Beverages",Borivali West, 
Mozzarella Burst Pizza's,4.1 • 48 mins,Pizzas,Malad Kan East, 
Fish Koliwada Corner,53 mins,"North Indian, Biryani",Malad Kan East, 
Just Frys,5 • 50 mins,Indian,Estate Link Raod, 
Desi Shawarma,50 mins,Mughlai,Estate Link Raod, 
Pahunchar,45 mins,"Sweets, Indian",Borivali, 
Chaarvi Chinese Wok Cafe,50 mins,"Snacks, Burgers",Malad Kan West, 
Pratham Fast Food,49 mins,Chinese,Jog Gor East, 
Punjabi Meal Box,1.6 • 50 mins,Indian,Estate Link Raod, 
Doston,4 • 52 mins,"North Indian, Biryani, Kebabs, Tandoor, Beverages",Malad Kan West, 20% OFF ABOVE ₹800
ROYAL DAIRY,48 mins,Beverages,Jog Gor East, 
Rapid Bites,43 mins,Snacks,Malad Kan East, 
China Chopstick,3.7 • 54 mins,"Chinese, Indian",Dahisar, 
Creamy Cool,46 mins,Beverages,Borivali, 
Parsley- The Lounge,45 mins,"Beverages, Chinese, Pastas",Malad Kan West, 20% OFF ABOVE ₹700
Mamta's Kitchen,47 mins,North Indian,Malad Kan West, 
Xotik Cafe,4.3 • 44 mins,"Beverages, Fast Food",Malad East, 
Momo Marvels,4.4 • 50 mins,"Tibetan, Pan-Asian",Aarey Road, 
The Chinese Cook House,2.9 • 49 mins,"Chinese, Thai, Fast Food",Malad Kan West, 
YADAV SWEET MART,46 mins,"Sweets, Snacks",Malad East, 
Cafekino,3.3 • 56 mins,"Snacks, Salads",Malad West, 
Borivali Falooda Centre & Veg-Non Veg Centre,2.5 • 43 mins,Indian,Dahisar East, 
Bhakti's Cake Dreams,42 mins,"Bakery, Desserts",Dahisar, 
The Juice Tree,40 mins,"Juices, Beverages",Malad Kan East, 
Level Up Pizzeria,49 mins,Pizzas,Malad Kan West, 
Benglore Iyyengers Bakery,41 mins,"Bakery, Desserts",Malad Kan West, 
Cake O' City - The Ultimate Cake Stop,2.8 • 45 mins,"Desserts, Beverages",Malad West, ₹250 OFF ABOVE ₹999
Bombay 62,40 mins,"Beverages, Snacks",Borivali, 
Crocodile Resturant,55 mins,Chinese,Jog Gor East, 
Kasipuh,4.6 • 42 mins,"Chinese, Snacks",Dahisar East, 25% OFF UPTO ₹125
Mastani Pavbhaji Centre,4.2 • 42 mins,"Fast Food, Snacks",Kandivali West, 
Konkan Bay,52 mins,"Indian, Chinese, Biryani, Seafood, Thalis",Jog Gor East, 
Saras Foods,46 mins,"Indian, Chinese",Borivali, 
Parmanand,4.1 • 46 mins,"Street Food, North Indian, Chinese, Beverages, South Indian",Malad West, 
Brioche,3.6 • 56 mins,"Bakery, Snacks, Fast Food, Pizzas",Jog Gor East, 10% OFF ABOVE ₹800
Vijayshree Icecream Amul Parlour,44 mins,Ice Cream,Borivali, 
Joey's Shawarma,45 mins,"Arabian, Burgers, Snacks, Desserts",Malad Kan West, 50% OFF UPTO ₹250
Wok Of Fame,3.7 • 41 mins,"Chinese, Snacks",Prabhu Udyog Bhavan, 25% OFF UPTO ₹125
D'Sandwicha & Snacks Corner,49 mins,"Fast Food, Street Food, Chinese, Pizzas",Dahisar, 
Celebration The Cake Shop,53 mins,Bakery,Jog Gor East, 
Apna SayBeen,40 mins,Chinese,Borivali, 
S M Special Falooda and Ice Cream,4.6 • 50 mins,"Desserts, Ice Cream, Beverages",Jog Gor East, 40% OFF UPTO ₹200
Rajeshahi Bhog,49 mins,"Indian, Snacks, Thalis",Jog Gor West, 
Exotic - The Dining Bar,4.7 • 46 mins,"Biryani, North Indian, Arabian, Pizzas, Chinese",Malad West, 
Royal China town,3.4 • 50 mins,"Chinese, Indian",Borivali, 
D Sweet Cloud,42 mins,"Bakery, Ice Cream",Borivali, 
Shree Mahalaxmi Restaurant And Garden,2.9 • 52 mins,"Chinese, Kebabs, Biryani",Mira Road, ₹250 OFF ABOVE ₹999
Maratha Biryani Centre,43 mins,"Chinese, North Indian, Biryani, Tandoor",Malad, 
Hotel Sai shradha,3.9 • 40 mins,"Snacks, Beverages",Kandivali West, 
Absolute Biryani,4 • 43 mins,"Biryani, North Indian",Borivali West, 
Esora,2.7 • 49 mins,Indian,Jog Gor East, 
Forks & Spoons 51,48 mins,"Burgers, Fast Food, Chinese, Pizzas, Beverages",Malad Kan East, 
Eternal Bliss,4.1 • 49 mins,"Bakery, Desserts, Beverages, Ice Cream",Goregaon, 
Honeys Delights,55 mins,Burgers,Malad Kan West, 
Aniket Chinese,4.5 • 41 mins,"Chinese, Snacks",Dahisar East, 
Sannju's Kitchen,3 • 43 mins,"Italian, Chinese",Borivali, 
Hooch Restaurant,44 mins,"Italian, Chinese, Salads, North Indian, Fast Food",Borivali, 
Pizzarita By The Fusion Kitchen,4.2 • 45 mins,"Italian, Pizzas",Borivali, 
Brunchners,52 mins,"Snacks, Burgers, Pizzas, Beverages",Jog Gor East, ₹150 OFF ABOVE ₹999
Sai Annapurna,4.4 • 46 mins,"Chinese, Indian, Biryani",Malad Kan West, 
Nasta House,45 mins,"North Indian, Beverages",Malad Kan West, 
Masala Mumbai,3.7 • 40 mins,Indian,Malad Kan East, 20% OFF UPTO ₹100
Bread Bowl Factory,51 mins,"Indian, Continental",Malad Kan West, 
Jizu - Pan Asian Delicacies,3.8 • 54 mins,"Chinese, Thai, Oriental",Malad West, 
Bombay Missal Company,3.8 • 42 mins,"Snacks, Fast Food, Pizzas, Beverages",Malad, 
BHANDIWADEKAR'S KITCHEN,42 mins,"Maharashtrian, Snacks, Street Food, Desserts",Borivali, 
Tea Home,47 mins,Burgers,Borivali, 
Bambbaiya Chinese,3.9 • 44 mins,"Chinese, Oriental, Biryani",Borivali, 
Sunny Dosas N Parathas,46 mins,"South Indian, North Indian",Dahisar, 
Goregaon Sports Club,45 mins,"Pizzas, Desserts, Italian",Malad Kan West, 
the dhaba by Geets Rasoi,4.1 • 46 mins,"Chinese, Indian",Malad Kan West, 
The Mocha House,4.2 • 61 mins,"Beverages, Cafe, Snacks, Desserts",Kandivali (West), 
103 Chinese Corner,43 mins,"Chinese, South Indian, Indian",Borivali, 
DAYANAND RESTAURANT AND BAR,42 mins,"Indian, Biryani",Dahisar, 
Ammo Ki Rasoi,55 mins,Indian,Jog Gor East, 
Waffle And Waffle,4.1 • 56 mins,"Desserts, Beverages, Waffle",Dahisar West, 
Jaya's Famous Sandwiches,49 mins,"Chinese, Indian",Malad Kan West, 
Fruitango Juices Shakes & Smoothies,40 mins,"Beverages, Chinese, Snacks",Rawal Pada, 
Fat Boy Food,49 mins,"Chinese, Burgers, Waffle",Malad Kan West, 
Double Door Lounge,42 mins,"Chinese, Italian",Borivali, 
Johny Wokker,4.9 • 54 mins,"Chinese, Continental",Goregaon, 
Lettuce-Global Veggies Cuisine,3.1 • 45 mins,"Continental, Italian",Goregaon East, 
I M Chinese Food Corner,37 mins,"Chinese, Snacks",Dahisar, 
Mr.D Misal Pav,44 mins,Indian,Malad Kan West, 
Tossin Pizza,4.2 • 25-35 mins,"Pizzas, Italian, Beverages, Desserts",Malad West, 50% OFF UPTO ₹100
Louis Burger,4.4 • 48 mins,"Burgers, American, Fast Food",BORIVALI WEST, ₹125 OFF ABOVE ₹249
Goila Butter Chicken,4.1 • 55 mins,"North Indian, Biryani, Kebabs, Desserts",Vithal Jadhav House, 15% OFF UPTO ₹100
SLYCE PIZZA,4.1 • 45 mins,"Burgers, American, Fast Food",BORIVALI WEST, 60% OFF UPTO ₹120
Hotel Sagar,4.2 • 55 mins,"Indian, Chinese",Mira Road, 
Lord Petrick,4.3 • 51 mins,"Burgers, Snacks, Italian, Desserts, Beverages",LINK HOUSE, 
Hotel Konkan Swad,3.8 • 54 mins,"North Indian, South Indian, Malwani, Chinese, Seafood",Chincholi Bunder Road, 
British Waffle Co.,4.3 • 42 mins,"Desserts, Beverages",Malad East, ₹175 OFF ABOVE ₹449
Rogan Tadka,4.1 • 41 mins,"North Indian, Chinese, Continental, Tandoor",Goregaon East, 
Udupi Express,4.4 • 63 mins,Indian,Kandivali West, 
Prem's,4.4 • 46 mins,"North Indian, Chinese, Thai, Indian, Mughlai, Biryani",Malad West, 
Fleur : The Fern Hotel,4.4 • 60 mins,"North Indian, Thai, Continental",Goregaon East, 
Simran Biryani Centre,3.6 • 35 mins,Biryani,Charkop, 
Majestic Nx,4.5 • 56 mins,Indian,Borivali West, 
City Star,4.2 • 45 mins,"North Indian, Chinese, Tandoor, Continental",Goregaon East, 
Bansi Snacks,3.8 • 49 mins,"Snacks, Chaat",Malad Kan West, 
Mothers Touch Kathiyawadi,4.1 • 74 mins,"Indian, Sweets, Beverages",Devrokarwadi New Link Road, ₹250 OFF ABOVE ₹999
Sai Krupa,3.8 • 55 mins,"Tandoor, Chinese",Goregaon, 10% OFF ABOVE ₹1000
Bite-Size,4.1 • 49 mins,"Salads, Healthy Food, Continental, Indian",Malad Kan West, 
Peppy Parathas & Rolls By Chai Point,4.2 • 54 mins,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi, Chaat, Indian, American, North Indian, Fast Food, Desserts, Cafe, Healthy Food, Home Food",Malad West, 40% OFF UPTO ₹80
Just Biryani,1.5 • 48 mins,Biryani,Jog Gor East, 
Kalinda,4 • 64 mins,"Indian, Chinese",Malad West, 
Bohoba,5 • 60 mins,"Italian, Pizzas, Mexican, Continental, European, Mediterranean, Desserts",MALAD, 
Chunkys Cake Shops,4.1 • 44 mins,Bakery,Malad West, 
LAXMI SWEETS AND FARSAN,4.3 • 32 mins,"Sweets, Snacks",Dahisar East, 
Grilled Chicken Company,3.6 • 54 mins,"Continental, Healthy Food, American",Malad Kan West, 
Aande Le Lo Cafe,4.7 • 67 mins,French,Malad Kan West, 
Biryani By Kalinda,4.1 • 58 mins,"Biryani, Snacks",Malad Kan West, 
Fill and Chill,3.2 • 63 mins,Desserts,Malad West, 
Sai Sannidhi Restaurant & Bar,4 • 57 mins,"North Indian, Chinese, Seafood",Mira Road, 
Chopstick house,3.3 • 66 mins,"Indian, Tandoor, Thalis",Goregaon, 
Just Rice,3.9 • 74 mins,Indian,Malad West, 30% OFF UPTO ₹150
Flags Ii,4.2 • 61 mins,"North Indian, Italian, Continental, Thai",Chincholi Bunder Signal, 10% OFF ABOVE ₹1500
2 Pai cakes,52 mins,"Bakery, Beverages",Jog Gor West, 
Atharva's Cloud Kitchen,3.7 • 68 mins,"Chinese, South Indian, Fast Food, North Indian, Ice Cream, Beverages, Biryani, Arabian",Santosh Nagar market , ₹100 OFF ABOVE ₹599
Mannrangi,4.4 • 70 mins,"North Indian, Punjabi, Mughlai, Biryani, Kebabs, Goan",Goregaon West, 
CST Delicious Food,3.9 • 72 mins,"Chinese, Indian, Mughlai, Tandoor",Borivali West, 
Bamboos,57 mins,"Chinese, Snacks, North Indian, Desserts",Malad Kan West, 
Dil Se Dalia,4.5 • 68 mins,"Fast Food, North Indian",Malad West, 30% OFF UPTO ₹150
Warehouse Kitchen,4.3 • 57 mins,"North Indian, Continental, Fast Food, Italian, Desserts",Malad West, 
China Castle,3.7 • 71 mins,"Chinese, North Indian",Jog Gor East, 
Allspice,3.8 • 48 mins,"North Indian, Chinese, Biryani, Tandoor",Kandivali west, 20% OFF ABOVE ₹700
Poddar Cuisine,4.6 • 52 mins,"Chinese, Biryani, Beverages",Malad Kan West, 
JUG's Kitchen,4 • 48 mins,"Indian, Lebanese, Mughlai, Chinese",Goregaon East, ₹250 OFF ABOVE ₹999
Choco Magic Patisserie & Confectioners Studio,4.1 • 43 mins,"Desserts, Beverages",Malad West, 
Yogita Restaurant,3.9 • 58 mins,"Indian, Chinese, Tandoor, Seafood",Malad Kan West, 
